Conference,Year,level_2,0
eurosys,2014,pct_no_big,66.67
eurosys,2014,pct_all_none,0.0
eurosys,2015,pct_has_big,31.25
eurosys,2015,pct_no_big,62.5
eurosys,2015,pct_all_none,6.25
eurosys,2016,pct_has_big,26.32
eurosys,2016,pct_no_big,73.68
eurosys,2016,pct_all_none,0.0
eurosys,2017,pct_has_big,19.51
eurosys,2017,pct_no_big,73.17
eurosys,2017,pct_all_none,7.32
eurosys,2018,pct_has_big,25.58
eurosys,2018,pct_no_big,72.09
eurosys,2018,pct_all_none,2.33
eurosys,2019,pct_has_big,20.0
eurosys,2019,pct_no_big,73.33
eurosys,2019,pct_all_none,6.67
eurosys,2020,pct_has_big,27.91
eurosys,2020,pct_no_big,60.47
eurosys,2020,pct_all_none,11.63
eurosys,2021,pct_has_big,28.95
eurosys,2021,pct_no_big,71.05
eurosys,2021,pct_all_none,0.0
eurosys,2022,pct_has_big,20.0
eurosys,2022,pct_no_big,75.56
eurosys,2022,pct_all_none,4.44
eurosys,2023,pct_has_big,22.22
eurosys,2023,pct_no_big,74.07
eurosys,2023,pct_all_none,3.7
eurosys,2024,pct_has_big,28.17
eurosys,2024,pct_no_big,70.42
eurosys,2024,pct_all_none,1.41
ic2e,2013,pct_has_big,22.5
ic2e,2013,pct_no_big,70.0
ic2e,2013,pct_all_none,7.5
ic2e,2014,pct_has_big,21.43
ic2e,2014,pct_no_big,64.29
ic2e,2014,pct_all_none,14.29
ic2e,2015,pct_has_big,22.73
ic2e,2015,pct_no_big,72.73
ic2e,2015,pct_all_none,4.55
ic2e,2016,pct_has_big,3.85
ic2e,2016,pct_no_big,76.92
ic2e,2016,pct_all_none,19.23
ic2e,2017,pct_has_big,22.22
ic2e,2017,pct_no_big,61.11
ic2e,2017,pct_all_none,16.67
ic2e,2018,pct_has_big,31.25
ic2e,2018,pct_no_big,68.75
ic2e,2018,pct_all_none,0.0
ic2e,2019,pct_has_big,8.7
ic2e,2019,pct_no_big,91.3
ic2e,2019,pct_all_none,0.0
ic2e,2020,pct_has_big,5.26
ic2e,2020,pct_no_big,89.47
ic2e,2020,pct_all_none,5.26
ic2e,2021,pct_has_big,4.0
ic2e,2021,pct_no_big,88.0
ic2e,2021,pct_all_none,8.0
ic2e,2022,pct_has_big,0.0
ic2e,2022,pct_no_big,100.0
ic2e,2022,pct_all_none,0.0
ic2e,2023,pct_has_big,13.04
ic2e,2023,pct_no_big,86.96
ic2e,2023,pct_all_none,0.0
ic2e,2024,pct_has_big,3.12
ic2e,2024,pct_no_big,93.75
ic2e,2024,pct_all_none,3.12
icdcs,2012,pct_has_big,12.86
icdcs,2012,pct_no_big,82.86
icdcs,2012,pct_all_none,4.29
icdcs,2013,pct_has_big,13.11
icdcs,2013,pct_no_big,77.05
icdcs,2013,pct_all_none,9.84
icdcs,2014,pct_has_big,10.61
icdcs,2014,pct_no_big,78.79
icdcs,2014,pct_all_none,10.61
icdcs,2015,pct_has_big,7.14
icdcs,2015,pct_no_big,90.0
icdcs,2015,pct_all_none,2.86
icdcs,2016,pct_has_big,5.88
icdcs,2016,pct_no_big,80.88
icdcs,2016,pct_all_none,13.24
icdcs,2017,pct_has_big,10.36
icdcs,2017,pct_no_big,81.35
icdcs,2017,pct_all_none,8.29
icdcs,2018,pct_has_big,10.53
icdcs,2018,pct_no_big,87.22
icdcs,2018,pct_all_none,2.26
icdcs,2019,pct_has_big,7.78
icdcs,2019,pct_no_big,90.0
icdcs,2019,pct_all_none,2.22
icdcs,2020,pct_has_big,7.62
icdcs,2020,pct_no_big,89.52
icdcs,2020,pct_all_none,2.86
icdcs,2021,pct_has_big,4.08
icdcs,2021,pct_no_big,74.49
icdcs,2021,pct_all_none,21.43
icdcs,2022,pct_has_big,2.16
icdcs,2022,pct_no_big,95.68
icdcs,2022,pct_all_none,2.16
icdcs,2023,pct_has_big,8.04
icdcs,2023,pct_no_big,91.96
icdcs,2023,pct_all_none,0.0
icdcs,2024,pct_has_big,5.15
icdcs,2024,pct_no_big,93.38
icdcs,2024,pct_all_none,1.47
middleware,2012,pct_has_big,16.67
middleware,2012,pct_no_big,79.17
middleware,2012,pct_all_none,4.17
middleware,2013,pct_has_big,20.0
middleware,2013,pct_no_big,76.0
middleware,2013,pct_all_none,4.0
middleware,2014,pct_has_big,22.22
middleware,2014,pct_no_big,77.78
middleware,2014,pct_all_none,0.0
middleware,2015,pct_has_big,8.7
middleware,2015,pct_no_big,91.3
middleware,2015,pct_all_none,0.0
middleware,2016,pct_has_big,23.81
middleware,2016,pct_no_big,61.9
middleware,2016,pct_all_none,14.29
middleware,2017,pct_has_big,20.0
middleware,2017,pct_no_big,75.0
middleware,2017,pct_all_none,5.0
middleware,2018,pct_has_big,18.18
middleware,2018,pct_no_big,81.82
middleware,2018,pct_all_none,0.0
middleware,2019,pct_has_big,12.0
middleware,2019,pct_no_big,88.0
middleware,2019,pct_all_none,0.0
middleware,2020,pct_has_big,3.33
middleware,2020,pct_no_big,96.67
middleware,2020,pct_all_none,0.0
middleware,2021,pct_has_big,6.9
middleware,2021,pct_no_big,89.66
middleware,2021,pct_all_none,3.45
middleware,2022,pct_has_big,7.69
middleware,2022,pct_no_big,84.62
middleware,2022,pct_all_none,7.69
middleware,2023,pct_has_big,12.5
middleware,2023,pct_no_big,83.33
middleware,2023,pct_all_none,4.17
middleware,2024,pct_has_big,5.13
middleware,2024,pct_no_big,94.87
middleware,2024,pct_all_none,0.0
nsdi,2012,pct_has_big,36.67
nsdi,2012,pct_no_big,63.33
nsdi,2012,pct_all_none,0.0
nsdi,2013,pct_has_big,36.84
nsdi,2013,pct_no_big,63.16
nsdi,2013,pct_all_none,0.0
nsdi,2014,pct_has_big,31.58
nsdi,2014,pct_no_big,68.42
nsdi,2014,pct_all_none,0.0
nsdi,2015,pct_has_big,35.71
nsdi,2015,pct_no_big,64.29
nsdi,2015,pct_all_none,0.0
nsdi,2016,pct_has_big,27.27
nsdi,2016,pct_no_big,72.73
nsdi,2016,pct_all_none,0.0
nsdi,2017,pct_has_big,32.61
nsdi,2017,pct_no_big,67.39
nsdi,2017,pct_all_none,0.0
nsdi,2018,pct_has_big,30.0
nsdi,2018,pct_no_big,67.5
nsdi,2018,pct_all_none,2.5
nsdi,2019,pct_has_big,34.69
nsdi,2019,pct_no_big,65.31
nsdi,2019,pct_all_none,0.0
nsdi,2020,pct_has_big,24.62
nsdi,2020,pct_no_big,75.38
nsdi,2020,pct_all_none,0.0
nsdi,2021,pct_has_big,37.29
nsdi,2021,pct_no_big,62.71
nsdi,2021,pct_all_none,0.0
nsdi,2022,pct_has_big,42.31
nsdi,2022,pct_no_big,55.13
nsdi,2022,pct_all_none,2.56
nsdi,2023,pct_has_big,46.88
nsdi,2023,pct_no_big,43.75
nsdi,2023,pct_all_none,9.38
nsdi,2024,pct_has_big,40.18
nsdi,2024,pct_no_big,50.0
nsdi,2024,pct_all_none,9.82
osdi,2012,pct_has_big,24.0
osdi,2012,pct_no_big,72.0
osdi,2012,pct_all_none,4.0
osdi,2014,pct_has_big,33.33
osdi,2014,pct_no_big,57.14
osdi,2014,pct_all_none,9.52
osdi,2016,pct_has_big,36.17
osdi,2016,pct_no_big,63.83
osdi,2016,pct_all_none,0.0
osdi,2018,pct_has_big,29.79
osdi,2018,pct_no_big,70.21
osdi,2018,pct_all_none,0.0
osdi,2020,pct_has_big,41.43
osdi,2020,pct_no_big,58.57
osdi,2020,pct_all_none,0.0
osdi,2021,pct_has_big,12.9
osdi,2021,pct_no_big,77.42
osdi,2021,pct_all_none,9.68
osdi,2022,pct_has_big,30.61
osdi,2022,pct_no_big,51.02
osdi,2022,pct_all_none,18.37
osdi,2023,pct_has_big,30.91
osdi,2023,pct_no_big,56.36
osdi,2023,pct_all_none,12.73
osdi,2024,pct_has_big,45.28
osdi,2024,pct_no_big,49.06
osdi,2024,pct_all_none,5.66
sigcomm,2012,pct_has_big,38.71
sigcomm,2012,pct_no_big,54.84
sigcomm,2012,pct_all_none,6.45
sigcomm,2013,pct_has_big,36.84
sigcomm,2013,pct_no_big,57.89
sigcomm,2013,pct_all_none,5.26
sigcomm,2014,pct_has_big,33.33
sigcomm,2014,pct_no_big,64.44
sigcomm,2014,pct_all_none,2.22
sigcomm,2015,pct_has_big,42.5
sigcomm,2015,pct_no_big,55.0
sigcomm,2015,pct_all_none,2.5
sigcomm,2016,pct_has_big,43.59
sigcomm,2016,pct_no_big,56.41
sigcomm,2016,pct_all_none,0.0
sigcomm,2017,pct_has_big,36.11
sigcomm,2017,pct_no_big,61.11
sigcomm,2017,pct_all_none,2.78
sigcomm,2018,pct_has_big,25.0
sigcomm,2018,pct_no_big,67.5
sigcomm,2018,pct_all_none,7.5
sigcomm,2019,pct_has_big,28.12
sigcomm,2019,pct_no_big,68.75
sigcomm,2019,pct_all_none,3.12
sigcomm,2020,pct_has_big,32.08
sigcomm,2020,pct_no_big,66.04
sigcomm,2020,pct_all_none,1.89
sigcomm,2021,pct_has_big,38.18
sigcomm,2021,pct_no_big,61.82
sigcomm,2021,pct_all_none,0.0
sigcomm,2022,pct_has_big,29.09
sigcomm,2022,pct_no_big,67.27
sigcomm,2022,pct_all_none,3.64
sigcomm,2023,pct_has_big,36.62
sigcomm,2023,pct_no_big,63.38
sigcomm,2023,pct_all_none,0.0
sigcomm,2024,pct_has_big,38.71
sigcomm,2024,pct_no_big,61.29
sigcomm,2024,pct_all_none,0.0
