Conference,Year,Name,Institution,Countries
asplos,2018,Jean-Pierre Lozi,University of Nice Sophia Antipolis,France
asplos,2018,Chen Ding,University of Rochester,United States
asplos,2018,Keshav Pingali,University of Texas at Austin,United States
asplos,2018,Vijay Reddi,University of Texas at Austin,United States
asplos,2018,Mohit Tiwari,University of Texas at Austin,United States
asplos,2018,Christopher J. Rossbach,University of Texas at Austin and VMware Research Group,United States
asplos,2018,Natalie Enright Jerger,University of Toronto,Canada
asplos,2018,Luis Ceze,University of Washington,United States
asplos,2018,Karu Sankaralingam,University of Wisconsin at Madison,United States
asplos,2018,Michael Swift,University of Wisconsin at Madison,United States
asplos,2019,Carl Waldspurger,Carl Waldspurger Consulting,United States
asplos,2019,Brandon Lucia,Carnegie Mellon University,United States
asplos,2019,Christina Delimitrou,Cornell University,United States
asplos,2019,Adrian Sampson,Cornell University,United States
asplos,2019,Haris Volos,Hewlett Packard Labs,United States
asplos,2019,Arka Basu,Indian Institute of Science-Bangalore,India
asplos,2019,Zidong Du,Institute of Computing Technology,China
asplos,2019,John Kim,KAIST,"Korea, Republic of"
asplos,2019,Eric Chung,Microsoft Research,United States
asplos,2019,Madan Musuvathi,Microsoft Research,United States
asplos,2019,Irene Zhang,Microsoft Research,United States
asplos,2019,Karin Strauss,Microsoft Research / University of Washington,United States
asplos,2019,Saman Amarasinghe,MIT,United States
asplos,2019,Chia-Lin Yang,National Taiwan University,"Taiwan, Province of China"
asplos,2019,Xipeng Shen,North Carolina State University,United States
asplos,2019,Michael Bond,Ohio State University,United States
asplos,2019,Dave Wentzlaff,Princeton University,United States
asplos,2019,Milind Kulkarni,Purdue University,United States
asplos,2019,Yiying Zhang,Purdue University,United States
asplos,2019,Scott Rixner,Rice University,United States
asplos,2019,Abhishek Bhattacharjee,Rutgers University,United States
asplos,2019,Zheng Zhang,Rutgers University,United States
asplos,2019,Haibo Chen,Shanghai Jiao Tong University,China
asplos,2019,Mark Silberstein,Technion,Israel
asplos,2019,Dan Tsafrir,Technion / VMware Research,Israel
asplos,2019,Daniel Jimenez,Texas A&M University,United States
asplos,2019,Hadi Esmaeilzadeh,UC San Diego,United States
asplos,2019,Yufei Ding,UC Santa Barbara,United States
asplos,2019,Tim Sherwood,UC Santa Barbara,United States
asplos,2019,Brad Karp,University College London,United Kingdom
asplos,2019,Hank Hoffman,University of Chicago,United States
asplos,2019,Shan Lu,University of Chicago,United States
asplos,2019,Boris Grot,University of Edinburgh,United Kingdom
asplos,2019,Reetuparna Das,University of Michigan,United States
asplos,2019,Jason Mars,University of Michigan,United States
asplos,2019,Satish Narayanasamy,University of Michigan,United States
asplos,2019,Lingjia Tang,University of Michigan,United States
asplos,2019,Thomas Wenisch,University of Michigan,United States
asplos,2019,Gernot Heiser,University of New South Wales,Australia
asplos,2019,Joseph Devietti,University of Pennsylvania,United States
asplos,2019,John Criswell,University of Rochester,United States
asplos,2019,Murali Annavarum,University of Southern California,United States
asplos,2019,Simon Peter,University of Texas at Austin,United States
asplos,2019,Chris Rossbach,University of Texas at Austin,United States
asplos,2019,Mohit Tiwari,University of Texas at Austin,United States
asplos,2019,Ashvin Goel,University of Toronto,Canada
asplos,2019,John Regehr,University of Utah,United States
asplos,2019,Luis Ceze,University of Washington,United States
asplos,2019,Mike Swift,University of Wisconsin–Madison,United States
asplos,2019,Marcos Aguilera,VMWare Research Group,United States
asplos,2019,Nadav Amit,VMWare Research Group,United States
asplos,2019,Irina Calciu,VMWare Research Group,United States
asplos,2020,Tim Harris,Amazon,United States
asplos,2020,Gabriel Loh,AMD,United States
asplos,2020,Steve Blackburn,Australian National University,Australia
asplos,2020,Brandon Lucia,Carnegie Mellon University,United States
asplos,2020,Todd Mowry,Carnegie Mellon University,United States
asplos,2020,Martha Kim,Columbia University,United States
asplos,2020,Christina Delimitrou,Cornell University,United States
asplos,2020,Adrian Sampson,Cornell University,United States
asplos,2020,Benjamin Lee,Duke University,United States
asplos,2020,Babak Falsafi,EPFL,Switzerland
asplos,2020,David Devecsery,Georgia Tech,United States
asplos,2020,Ada Gavrilovska,Georgia Tech,United States
asplos,2020,Lieven Eeckhout,Ghent University,Belgium
asplos,2020,Albert Cohen,Google,United States
asplos,2020,Steven Hand,Google,United States
asplos,2020,Kathryn McKinley,Google,United States
asplos,2020,Tatiana Shpeisman,Google,United States
asplos,2020,David Brooks,Harvard University,United States
asplos,2020,Kim Keeton,HP Labs,United States
asplos,2020,Qi Guo,ICT,China
asplos,2020,Yungang Bao,"ICT, CAS",China
asplos,2020,John Kim,KAIST,"Korea, Republic of"
asplos,2020,Srilatha Manne,Microsoft,United States
asplos,2020,Ricardo Bianchini,Microsoft Research,United States
asplos,2020,Michael Carbin,MIT,United States
asplos,2020,Sophia Shao,NVIDIA,United States
asplos,2020,Michael Bond,Ohio State University,United States
asplos,2020,Margaret Martonosi,Princeton University,United States
asplos,2020,Caroline Trippel,Princeton University,United States
asplos,2020,Milind Kulkarni,Purdue University,United States
asplos,2020,Lin Tan,Purdue University,United States
asplos,2020,Haibo Chen,SJTU,China
asplos,2020,Jae Wook Lee,SNU,"Korea, Republic of"
asplos,2020,Kunle Olukotun,Stanford University,United States
asplos,2020,Mark Silberstein,Technion,Israel
asplos,2020,Jonathan Ragan-Kelley,UC Berkeley,United States
asplos,2020,Jason Lowe-Power,UC Davis,United States
asplos,2020,Steve Swanson,UC San Diego,United States
asplos,2020,Yufei Ding,UC Santa Barbara,United States
asplos,2020,Chandra Krintz,UC Santa Barbara,United States
asplos,2020,Tim Sherwood,UC Santa Barbara,United States
asplos,2020,Harry Xu,UCLA,United States
asplos,2020,Chris Fletcher,UIUC,United States
asplos,2020,Hank Hoffmann,University of Chicago,United States
asplos,2020,Boris Grot,University of Edinburgh,United Kingdom
asplos,2020,Michael O’Boyle,University of Edinburgh,United Kingdom
asplos,2020,Emery Berger,University of Massachusetts,United States
asplos,2020,Ulya Karpuzcu,University of Minnesota,United States
asplos,2020,Joe Devietti,University of Pennsylvania,United States
asplos,2020,Mohit Tiwari,University of Texas at Austin,United States
asplos,2020,Emmett Witchel,University of Texas at Austin,United States
asplos,2020,Zachary Tatlock,University of Washington,United States
asplos,2020,Jing Li,University of Wisconsin,United States
asplos,2020,Mike Swift,University of Wisconsin,United States
asplos,2020,Xuehai Qian,USC,Spain
asplos,2020,Christopher Rossbach,UT Austin,United States
asplos,2020,Abhishek Bhattacharjee,Yale University,United States
asplos,2021,Shoaib Kamil,Adobe,United States
asplos,2021,Steve Blackburn,Australian National University,Australia
asplos,2021,Dmitry Ponomarev,Binghamton University,United States
asplos,2021,Brandon Lucia,Carnegie Mellon University,United States
asplos,2021,Adrian Sampson,Cornell University,United States
asplos,2021,Christina Delimitrou,Cornell University,United States
asplos,2021,Hakim Weatherspoon,Cornell University,United States
asplos,2021,Nate Foster,Cornell University,United States
asplos,2021,Lisa Wu Wills,Duke University,United States
asplos,2021,Lizy John,"ECE Dept, University of Texas, Austin",United States
asplos,2021,Alexandros Daglis,Georgia Tech,United States
asplos,2021,Alex Passos,Google,United States
asplos,2021,Alex Ramirez,Google,United States
asplos,2021,Kathryn S. McKinley,Google,United States
asplos,2021,Michael Marty,Google,United States
asplos,2021,Tipp Moseley,Google,United States
asplos,2021,Ana Klimovic,Google Brain / ETH Zurich,United States
asplos,2021,Amir Yazdanbakhsh,Google Research,United States
asplos,2021,Vijay Janapa Reddi,"Harvard University / University of Texas, Austin / Google",United States
asplos,2021,Ali Javadi-Abhari,IBM,United States
asplos,2021,Yungang Bao,"Institute of Computing Technology, Chinese Academy of Sciences",China
asplos,2021,Christopher Hughes,Intel,United States
asplos,2021,Marco Pistoia,JPMorgan Chase & Co.,United States
asplos,2021,Eric Chung,Microsoft Azure,United States
asplos,2021,Dan Ports,Microsoft Research,United States
asplos,2021,Jacob Nelson,Microsoft Research,United States
asplos,2021,Jay Lorch,Microsoft Research,United States
asplos,2021,Landon Cox,Microsoft Research,United States
asplos,2021,Daniel Sanchez,MIT,United States
asplos,2021,Mengjia Yan,MIT,United States
asplos,2021,Michael Carbin,MIT,United States
asplos,2021,Sara Achour,MIT,United States
asplos,2021,Song Han,MIT,United States
asplos,2021,Li-Shiuan Peh,National University of Singapore,Singapore
asplos,2021,Daniel Lustig,NVIDIA,United States
asplos,2021,Guy Steele,Oracle Labs,United States
asplos,2021,Kei Hiraki,Preferred Networks,Japan
asplos,2021,Lin Tan,Purdue University,United States
asplos,2021,Milind Kulkarni,Purdue University,United States
asplos,2021,Caroline Trippel,Stanford University,United States
asplos,2021,John Vilk,"Stripe, Inc.",United States
asplos,2021,Dan Tsafrir,Technion / VMware Research,Israel
asplos,2021,Daniel Jiménez,Texas A&M University,United States
asplos,2021,Mingyu Gao,Tsinghua University,China
asplos,2021,Yannis Smaragdakis,University of Athens,Greece
asplos,2021,Alexandra (Sasha) Fedorova,University of British Columbia,United States
asplos,2021,Margo Seltzer,University of British Columbia,United States
asplos,2021,Sarah Chasins,"University of California, Berkeley",United States
asplos,2021,Sophia Shao,"University of California, Berkeley",United States
asplos,2021,Jason Cong,"University of California, Los Angeles",United States
asplos,2021,Hadi Esmaeilzadeh,"University of California, San Diego",United States
asplos,2021,Jishen Zhao,"University of California, San Diego",United States
asplos,2021,Steven Swanson,"University of California, San Diego",United States
asplos,2021,Yuan Xie,"University of California, Santa Barbara",United States
asplos,2021,Lindsey Kuper,"University of California, Santa Cruz",United States
asplos,2021,Christopher Fletcher,"University of Illinois, Urbana-Champaign",United States
asplos,2021,Sasa Misailovic,"University of Illinois, Urbana-Champaign",United States
asplos,2021,Marco Serafini,"University of Massachusetts, Amherst",United States
asplos,2021,Baris Kasikci,University of Michigan,United States
asplos,2021,Thomas Wenisch,University of Michigan,United States
asplos,2021,Jing Li,University of Pennsylvania,United States
asplos,2021,Jun Yang,University of Pittsburgh,United States
asplos,2021,James Bornholt,"University of Texas, Austin",United States
asplos,2021,Christopher Rossbach,"University of Texas, Austin / VMware Research",United States
asplos,2021,Vijay Chidambaram,"University of Texas, Austin / VMware Research",United States
asplos,2021,Andreas Moshovos,University of Toronto,Canada
asplos,2021,Ding Yuan,University of Toronto,Canada
